,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
639,0.5,.385,1.2,0.0,,0.0,0.1,31,0.4,0.9,0.5,.385,1.2,0.1,.333,0.3,21,0,NBA,7.1,0.6,0.6,Joel Anthony ,1.0,C,0.1,0.1,1.5,BOS,.385
640,0.7,.581,1.3,0.0,,0.0,0.1,32,1.0,1.2,0.7,.581,1.3,0.3,.682,0.4,49,0,NBA,8.3,0.7,1.1,Joel Anthony ,1.8,C,0.2,0.2,1.9,DET,.581
641,0.3,.600,0.5,0.0,,0.0,0.1,33,0.6,0.7,0.3,.600,0.5,0.3,.750,0.4,19,0,NBA,5.1,0.4,0.8,Joel Anthony ,0.9,C,0.1,0.1,1.1,DET,.600
642,0.5,.625,0.8,0.0,,0.0,0.2,34,0.3,1.2,0.5,.625,0.8,0.3,.625,0.4,19,0,NBA,6.4,0.4,0.6,Joel Anthony ,1.3,C,0.1,0.2,1.6,SAS,.625
643,2.0,.509,4.0,0.0,.000,0.0,0.6,30,1.6,3.3,2.0,.508,4.0,1.3,.589,2.2,82,0,NBA,18.0,2.1,2.6,Martell Webster ,5.4,C,0.4,1.2,5.4,NYK,.508
644,1.4,.464,3.1,0.7,.408,1.8,1.9,22,0.1,0.8,2.2,.444,4.9,0.8,.753,1.1,80,2,NBA,14.4,0.2,1.2,Beno Udrih ,5.9,PG,0.5,1.0,1.0,SAS,.518
645,1.5,.503,3.0,0.4,.343,1.3,1.7,23,0.0,0.6,2.0,.455,4.3,0.7,.780,0.9,54,3,NBA,10.9,0.3,1.0,Beno Udrih ,5.1,PG,0.3,1.0,1.0,SAS,.506
646,1.3,.410,3.1,0.5,.287,1.6,1.7,24,0.0,1.0,1.7,.369,4.7,0.7,.883,0.8,73,1,NBA,13.0,0.2,1.0,Beno Udrih ,4.7,PG,0.4,0.8,1.1,SAS,.417
647,4.2,.482,8.8,0.8,.387,2.1,4.3,25,0.2,2.8,5.0,.463,10.9,1.9,.850,2.3,65,51,NBA,32.0,0.5,2.1,Beno Udrih ,12.8,PG,0.9,2.3,3.3,SAC,.501
648,3.9,.491,8.0,0.5,.310,1.5,4.7,26,0.2,2.4,4.4,.461,9.5,1.7,.820,2.1,73,72,NBA,31.1,0.6,2.6,Beno Udrih ,11.0,PG,1.1,2.2,3.0,SAC,.486
649,4.3,.530,8.1,0.9,.377,2.5,4.7,27,0.1,2.3,5.3,.493,10.6,1.5,.837,1.8,79,41,NBA,31.4,0.5,2.1,Beno Udrih ,12.9,PG,1.1,1.7,2.8,SAC,.538
650,4.4,.540,8.1,0.8,.357,2.3,4.9,28,0.1,2.8,5.2,.500,10.4,2.5,.864,2.9,79,64,NBA,34.6,0.5,2.3,Beno Udrih ,13.7,PG,1.2,1.8,3.4,SAC,.539
651,2.2,.473,4.6,0.3,.288,1.0,3.8,29,0.0,1.3,2.5,.440,5.6,0.7,.709,0.9,59,0,NBA,18.3,0.4,1.2,Beno Udrih ,5.9,SG,0.6,1.3,1.7,MIL,.465
652,2.7,.471,5.7,0.5,.333,1.5,4.6,30,0.0,1.6,3.2,.441,7.2,1.3,.816,1.6,66,9,NBA,22.1,0.5,1.4,Beno Udrih ,8.2,SG-PG,0.6,1.6,2.1,TOT,.477
653,2.6,.529,4.8,0.3,.265,1.3,3.5,30,0.1,1.6,2.9,.475,6.1,0.6,.727,0.8,39,0,NBA,18.4,0.4,1.0,Beno Udrih ,6.7,SG,0.4,1.4,2.0,MIL,.502
654,2.8,.411,6.9,0.8,.396,2.0,6.1,30,0.0,1.7,3.6,.408,8.8,2.2,.857,2.6,27,9,NBA,27.3,0.6,1.9,Beno Udrih ,10.2,PG,0.9,2.0,2.3,ORL,.452
655,1.4,.434,3.3,0.5,.452,1.0,2.8,31,0.1,1.2,1.9,.438,4.3,0.6,.833,0.7,41,12,NBA,15.7,0.2,1.2,Beno Udrih ,4.9,SG,0.6,1.1,1.4,TOT,.492
656,1.6,.425,3.9,0.5,.425,1.3,3.5,31,0.1,1.5,2.2,.425,5.2,0.6,.833,0.8,31,12,NBA,19.0,0.3,1.5,Beno Udrih ,5.6,SG,0.7,1.4,1.8,NYK,.478
657,0.8,.500,1.6,0.2,1.000,0.2,0.6,31,0.1,0.2,1.0,.556,1.8,0.5,.833,0.6,10,0,NBA,5.5,0.0,0.4,Beno Udrih ,2.7,SG,0.1,0.5,0.2,MEM,.611
658,2.8,.539,5.2,0.3,.268,1.2,2.8,32,0.1,1.6,3.1,.487,6.4,1.1,.853,1.3,79,12,NBA,18.9,0.3,1.1,Beno Udrih ,7.7,PG,0.6,1.1,1.8,MEM,.513
659,1.6,.461,3.5,0.3,.341,1.0,2.6,33,0.0,1.5,2.0,.434,4.5,0.4,.900,0.5,44,5,NBA,16.1,0.2,1.2,Beno Udrih ,4.7,PG,0.3,1.2,1.6,TOT,.472
660,2.0,.457,4.4,0.5,.364,1.4,3.3,33,0.1,0.9,2.5,.435,5.8,0.4,1.000,0.4,8,0,NBA,15.0,0.3,1.4,Beno Udrih ,5.9,PG,0.4,1.4,1.1,MEM,.478
661,1.5,.462,3.3,0.3,.333,0.9,2.5,33,0.0,1.6,1.8,.434,4.2,0.4,.882,0.5,36,5,NBA,16.3,0.2,1.1,Beno Udrih ,4.4,PG,0.3,1.2,1.8,MIA,.470
662,2.1,.491,4.2,0.3,.344,0.8,3.4,34,0.0,1.3,2.4,.467,5.1,0.8,.941,0.9,39,0,NBA,14.4,0.2,0.7,Beno Udrih ,5.8,PG,0.3,0.9,1.5,DET,.495
663,3.6,.479,7.6,0.2,.278,0.8,1.4,35,0.4,3.2,3.9,.461,8.4,1.1,.615,1.8,71,66,NBA,27.0,2.3,2.5,Tony Allen ,9.1,SG,1.6,1.4,5.5,MEM,.473
664,6.2,.456,13.5,0.8,.310,2.4,3.8,35,0.7,3.5,6.9,.434,15.9,3.7,.794,4.7,60,59,NBA,29.9,1.1,1.9,Dwyane Wade ,18.3,SG,1.4,2.3,4.5,CHI,.457
665,1.0,1.000,1.0,0.0,.000,0.5,2.5,33,0.0,0.0,1.0,.667,1.5,1.0,1.000,1.0,2,0,NBA,16.5,0.0,2.0,Jarrett Jack ,3.0,PG,1.0,1.5,0.0,NOP,.667
666,2.1,.508,4.1,0.9,.424,2.2,2.6,33,0.1,1.3,3.0,.479,6.3,0.5,.667,0.8,15,0,NBA,17.7,0.1,1.2,Raymond Felton ,7.5,PG,0.8,0.6,1.4,OKC,.553
667,2.0,.457,4.4,1.0,.411,2.5,1.3,31,0.1,1.9,3.0,.440,6.9,1.4,.892,1.5,61,45,NBA,25.9,0.1,1.7,Arron Afflalo ,8.4,SG,0.3,0.7,2.0,SAC,.514
668,2.7,.462,5.9,0.0,.000,0.0,0.7,23,0.3,3.8,2.7,.459,6.0,1.9,.765,2.4,75,24,NBA,23.9,2.5,2.6,Udonis Haslem ,7.3,PF,0.4,1.0,6.3,MIA,.459
669,4.3,.543,8.0,0.0,.000,0.1,1.4,24,0.5,6.1,4.3,.540,8.0,2.2,.791,2.8,80,80,NBA,33.4,3.0,3.3,Udonis Haslem ,10.9,PF,0.8,1.4,9.1,MIA,.540
670,3.7,.509,7.3,0.0,.000,0.0,1.2,25,0.2,5.8,3.7,.508,7.3,1.9,.789,2.5,81,80,NBA,30.8,2.1,2.7,Udonis Haslem ,9.3,PF,0.6,1.0,7.8,MIA,.508
671,4.5,.495,9.0,0.0,.000,0.1,1.2,26,0.3,5.9,4.5,.492,9.1,1.7,.680,2.6,79,79,NBA,31.4,2.4,3.0,Udonis Haslem ,10.7,PF,0.6,1.4,8.3,MIA,.492
672,4.8,.467,10.3,0.0,,0.0,1.4,27,0.4,6.9,4.8,.467,10.3,2.3,.810,2.9,49,48,NBA,36.8,2.2,3.0,Udonis Haslem ,12.0,PF,0.8,1.4,9.0,MIA,.467
