,Unnamed: 0,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
405,405,0.9,0.45899999999999996,1.9,0.0,,0.0,1.3,30,1.5,1.2,0.9,0.45899999999999996,1.9,0.8,0.8,1.0,20,0.0,NBA,14.9,1.2,2.2,Ekpe Udoh ,2.5,C,0.7,0.5,2.3,UTA,0.45899999999999996
406,406,1.9,0.456,4.1,1.2,0.365,3.4,1.7,22,0.2,2.2,3.1,0.414,7.5,1.2,0.763,1.6,50,21.0,NBA,21.3,0.2,2.4,Rodney Hood ,8.7,SG,0.6,0.9,2.3,UTA,0.49700000000000005
407,407,3.1,0.47200000000000003,6.6,2.0,0.359,5.7,2.7,23,0.2,2.9,5.2,0.42,12.3,2.2,0.86,2.5,79,79.0,NBA,32.2,0.5,2.6,Rodney Hood ,14.5,SG,0.9,1.6,3.4,UTA,0.503
408,408,2.7,0.44,6.1,1.9,0.371,5.2,1.6,24,0.2,3.2,4.6,0.408,11.3,1.5,0.7829999999999999,1.9,59,55.0,NBA,27.0,0.3,2.2,Rodney Hood ,12.7,SG,0.6,1.1,3.4,UTA,0.494
409,409,3.3,0.435,7.7,2.8,0.402,7.1,1.8,25,0.2,2.3,6.2,0.419,14.7,2.6,0.92,2.8,18,9.0,NBA,28.3,0.3,1.9,Rodney Hood ,17.7,SG,0.7,1.9,2.6,UTA,0.515
412,412,0.9,0.4,2.2,0.8,0.364,2.3,2.5,23,0.1,1.9,1.7,0.382,4.5,0.9,0.7859999999999999,1.1,51,10.0,NBA,19.8,0.3,1.5,Shabazz Napier ,5.1,PG,0.8,1.6,2.2,MIA,0.47600000000000003
413,413,0.6,0.35100000000000003,1.8,0.6,0.327,1.9,1.8,24,0.0,0.8,1.2,0.33799999999999997,3.7,0.6,0.733,0.8,55,0.0,NBA,10.9,0.2,0.7,Shabazz Napier ,3.7,PG,0.4,0.8,1.0,ORL,0.423
414,414,0.7,0.429,1.7,0.6,0.37,1.7,1.3,25,0.0,1.0,1.4,0.39899999999999997,3.5,0.7,0.7759999999999999,0.9,53,2.0,NBA,9.7,0.2,0.7,Shabazz Napier ,4.1,PG,0.6,0.8,1.2,POR,0.49200000000000005
415,415,1.8,0.491,3.6,0.9,0.519,1.7,1.4,26,0.1,1.4,2.6,0.5,5.3,1.4,0.815,1.7,16,0.0,NBA,16.2,0.3,0.9,Shabazz Napier ,7.5,PG,0.8,0.8,1.7,POR,0.583
419,419,1.0,0.49200000000000005,2.1,0.4,0.316,1.3,0.2,20,0.1,1.7,1.4,0.42700000000000005,3.3,0.5,0.633,0.8,63,9.0,NBA,10.7,0.4,1.6,Kelly Oubre ,3.7,SF,0.3,0.5,2.1,WAS,0.486
