PLAYER,POS,TEAM,AGE,YRS,DOLLARS,GUARANTEED,% GTD,AVG. SALARY,FREE AGENT
Skal Labissiere (2016-2017),PF,SAC,21,2,"$2,431,080.00","$2,431,080.00",100.00%,"$1,215,540.00",2020
Josh Richardson (2015-2017),SG,MIA,24,3,"$2,414,475.00","$1,399,729.00",57.97%,"$804,825.00",2018
Salah Mejri (2015-2017),C,DAL,31,3,"$2,414,475.00","$2,414,475.00",100.00%,"$804,825.00",2018
T.J. McConnell (2015-2017),PG,PHI,25,3,"$2,414,475.00","$1,399,729.00",57.97%,"$804,825.00",2019
Dejounte Murray (2016-2017),PG,SAS,21,2,"$2,413,320.00","$2,413,320.00",100.00%,"$1,206,660.00",2020
Jason Terry (2017-2017),SG,MIL,40,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Andrew Bogut (2017-2017),C,LAL,32,1,"$2,328,652.00","$50,000.00",2.15%,"$2,328,652.00",2018
Gerald Green (2017-2017),SG,MIL,31,1,"$2,328,652.00",-,-,"$2,328,652.00",2018
Kris Humphries (2017-2017),PF,PHI,32,1,"$2,328,652.00",-,-,"$2,328,652.00",2018
Kendrick Perkins (2017-2017),C,CLE,32,1,"$2,328,652.00",-,-,"$2,328,652.00",2018
Emeka Okafor (2017-2017),C,PHI,35,1,"$2,328,652.00",-,-,"$2,328,652.00",2018
Joel Anthony (2017-2017),C,MIL,35,1,"$2,328,652.00",-,-,"$2,328,652.00",2018
Martell Webster (2017-2017),SF,NOP,30,1,"$2,328,652.00",-,-,"$2,328,652.00",2018
Beno Udrih (2017-2017),PG,DET,35,1,"$2,328,652.00",-,-,"$2,328,652.00",2018
Tony Allen (2017-2017),SG,NOP,35,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Dwyane Wade (2017-2017),SG,CLE,35,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Jarrett Jack (2017-2017),PG,NYK,33,1,"$2,328,652.00",-,-,"$2,328,652.00",2018
Raymond Felton (2017-2017),PG,OKC,33,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Arron Afflalo (2017-2017),SG,ORL,31,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Udonis Haslem (2017-2017),PF,MIA,37,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Ramon Sessions (2017-2017),PG,NYK,31,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
David West (2017-2017),PF,GSW,37,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Nick Collison (2017-2017),PF,OKC,36,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Jeff Green (2017-2017),SF,CLE,31,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Jose Calderon (2017-2017),PG,CLE,36,1,"$2,328,652.00","$2,328,652.00",100.00%,"$2,328,652.00",2018
Ivan Rabb (2017-2018),PF,MEM,20,2,"$2,328,242.00","$2,328,242.00",100.00%,"$1,164,121.00",2020
Rade Zagorac (2017-2018),SF,MEM,22,2,"$2,328,242.00","$2,328,242.00",100.00%,"$1,164,121.00",2020
Dante Cunningham (2017-2017),PF,NOP,30,1,"$2,300,000.00",-,-,"$2,300,000.00",2018
